Date,PRICE,AGE,SIZE,TERR,DET,CHF,BATH2P,GARAGE,SEMI,FITS,RESI,FITS_1,RESI_1
1,4.30E+04,0.00E+00,4.50E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,33503.9328109642,9496.06718903578,33503.9328109642,9496.06718903578
2,3.50E+04,1.00E+02,7.80E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,32551.7295656182,2448.27043438178,32551.7295656182,2448.27043438178
3,3.55E+04,1.00E+02,8.10E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,33509.6015548512,1990.39844514883,33509.6015548512,1990.39844514883
4,3.90E+04,9.00E+01,7.90E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,34019.8997413867,4980.10025861328,34019.8997413867,4980.10025861328
5,4.05E+04,4.00E+01,1.00E+02,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,48958.4817959251,-8458.48179592507,48958.4817959251,-8458.48179592507
6,3.50E+04,2.00E+01,9.40E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,46851.4162763874,-11851.4162763874,46851.4162763874,-11851.4162763874
7,4.40E+04,0.00E+00,6.50E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,39889.7460725172,4110.25392748276,39889.7460725172,4110.25392748276
8,2.90E+04,1.00E+02,7.50E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,34082.9381428387,-5082.93814283868,34082.9381428387,-5082.93814283868
9,4.70E+04,2.50E+01,8.40E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,50662.0673968442,-3662.06739684421,50662.0673968442,-3662.06739684421
10,4.75E+04,0.00E+00,6.40E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,39570.4554094396,7879.54459056041,39570.4554094396,7879.54459056041
11,5.50E+04,6.00E+01,9.10E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,49015.111778842,5984.888221158,49015.111778842,5984.888221158
12,3.80E+04,1.20E+02,7.80E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,30253.9705402365,7746.02945976348,30253.9705402365,7746.02945976348
13,4.15E+04,1.00E+00,7.10E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,41690.6020997141,-190.602099714066,41690.6020997141,-190.602099714066
